"Sample ID",""Category","Series 1"
"Sample_00_0003","KRT80",2
"Sample_00_0003","KRT81",2
"Sample_00_0003","GPR132",2
"Sample_00_0003","RAD51B",2
"Sample_00_0003","ZFP36L1",2
"Sample_00_0003","LTBP2",2
"Sample_00_0003","IRF2BPL",2
"Sample_00_0003","SMAD6",2
"Sample_00_0003","MIR4720",2
"Sample_00_0003","GRAP",2
"Sample_00_0003","SNORD3B-1",2
"Sample_00_0003","GRAPL",2
"Sample_00_0003","SNORD3D",2
"Sample_00_0003","SNORD3C",2
"Sample_00_0003","SNORD3A",2
"Sample_00_0003","RNU2-1",2
"Sample_00_0003","LINC00854",2
"Sample_00_0003","HEXIM2",2
"Sample_00_0003","HEXIM1",2
"Sample_00_0003","PLCD3",2
"Sample_00_0003","ACBD4",2
"Sample_00_0003","FMNL1",2
"Sample_00_0003","GIP",2
"Sample_00_0003","SNF8",2
"Sample_00_0003","IGF2BP1",2
"Sample_00_0003","LUC7L3",2
"Sample_00_0003","ANKRD40",2
"Sample_00_0003","CUEDC1",2
"Sample_00_0003","LINC00673",2
"Sample_00_0003","KDM6B",2
"Sample_00_0003","CYB5D1",2
"Sample_00_0003","CHD3",2
"Sample_00_0003","TMEM88",2
"Sample_00_0003","NAA38",2
"Sample_00_0003","CNTROB",2
"Sample_00_0003","KCNAB3",2
"Sample_00_0003","LOC101060542",2
"Sample_00_0003","STK11",2
"Sample_00_0003","YIF1B",2
"Sample_00_0003","ACTN4",2
"Sample_00_0003","SARS2",2
"Sample_00_0003","FBXO17",2
"Sample_00_0003","CEACAM19",2
"Sample_00_0003","PVR",2
"Sample_00_0003","CEACAM16",2
"Sample_00_0003","BRE",2
"Sample_00_0003","LINC01119",2
"Sample_00_0003","RIN2",2
"Sample_00_0003","ZMYND8",2
"Sample_00_0003","LOC100131496",2
"Sample_00_0003","NKILA",2
"Sample_00_0003","PMEPA1",2
"Sample_00_0003","MIR6070",2
"Sample_00_0003","CCDC80",2
"Sample_00_0003","ZBTB38",2
"Sample_00_0003","BHLHE40-AS1",2
"Sample_00_0003","BHLHE40",2

"Sample_00_0001","",4
"Sample_00_0001","C12ORF80",3
"Sample_00_0001","KRT7",3
"Sample_00_0001","KRT8",3
"Sample_00_0001","KRT18",3
"Sample_00_0001","CMIP",3
"Sample_00_0001","LOC79999",3
"Sample_00_0001","ABCC3",3
"Sample_00_0001","GLI2",3
"Sample_00_0001","FOXP1",3
"Sample_00_0001","NRG1",3
"Sample_00_0001","NRG1-IT3",3
"Sample_00_0001","SHC1",2
"Sample_00_0001","CKS1B",2
"Sample_00_0001","PBXIP1",2
"Sample_00_0001","ZBTB7B",2
"Sample_00_0001","PYGO2",2
"Sample_00_0001","LENEP",2
"Sample_00_0001","MIR4258",2
"Sample_00_0001","FLAD1",2
"Sample_00_0001","ITGB1",2
"Sample_00_0001","AKR1C1",2
"Sample_00_0001","AKR1C2",2
"Sample_00_0001","AKR1C3",2
"Sample_00_0001","DDIT4",2
"Sample_00_0001","ASCC1",2
"Sample_00_0001","ANAPC16",2
"Sample_00_0001","NEAT1",2
"Sample_00_0001","SLC25A45",2
"Sample_00_0001","FRMD8",2
"Sample_00_0001","MIR612",2
"Sample_00_0001","LTBP3",2
"Sample_00_0001","SSSCA1",2
"Sample_00_0001","CDC42EP2",2
"Sample_00_0001","SCYL1",2
"Sample_00_0001","POLD4",2
"Sample_00_0001","LOC100130987",2
"Sample_00_0001","RAD9A",2
"Sample_00_0001","CLCF1",2
"Sample_00_0001","PPP1CA",2
"Sample_00_0001","TBC1D10C",2
"Sample_00_0001","PCED1B",2
"Sample_00_0001","PCED1B-AS1",2
"Sample_00_0001","KRT80",2
"Sample_00_0001","KRT81",2
"Sample_00_0001","GPR132",2
"Sample_00_0001","RAD51B",2
"Sample_00_0001","ZFP36L1",2
"Sample_00_0001","LTBP2",2
"Sample_00_0001","IRF2BPL",2
"Sample_00_0001","SMAD6",2
"Sample_00_0001","MIR4720",2
"Sample_00_0001","GRAP",2
"Sample_00_0001","SNORD3B-1",2
"Sample_00_0001","GRAPL",2
"Sample_00_0001","SNORD3D",2
"Sample_00_0001","SNORD3C",2
"Sample_00_0001","SNORD3A",2
"Sample_00_0001","RNU2-1",2
"Sample_00_0001","LINC00854",2
"Sample_00_0001","HEXIM2",2
"Sample_00_0001","HEXIM1",2
"Sample_00_0001","PLCD3",2
"Sample_00_0001","ACBD4",2
"Sample_00_0001","FMNL1",2
"Sample_00_0001","GIP",2
"Sample_00_0001","SNF8",2
"Sample_00_0001","IGF2BP1",2
"Sample_00_0001","LUC7L3",2
"Sample_00_0001","ANKRD40",2
"Sample_00_0001","CUEDC1",2
"Sample_00_0001","LINC00673",2
"Sample_00_0001","KDM6B",2
"Sample_00_0001","CYB5D1",2
"Sample_00_0001","CHD3",2
"Sample_00_0001","TMEM88",2
"Sample_00_0001","NAA38",2
"Sample_00_0001","CNTROB",2
"Sample_00_0001","KCNAB3",2
"Sample_00_0001","LOC101060542",2
"Sample_00_0001","STK11",2
"Sample_00_0001","YIF1B",2
"Sample_00_0001","ACTN4",2
"Sample_00_0001","SARS2",2
"Sample_00_0001","FBXO17",2
"Sample_00_0001","CEACAM19",2
"Sample_00_0001","PVR",2
"Sample_00_0001","CEACAM16",2
"Sample_00_0001","BRE",2
"Sample_00_0001","LINC01119",2
"Sample_00_0001","RIN2",2
"Sample_00_0001","ZMYND8",2
"Sample_00_0001","LOC100131496",2
"Sample_00_0001","NKILA",2
"Sample_00_0001","PMEPA1",2
"Sample_00_0001","MIR6070",2
"Sample_00_0001","CCDC80",2
"Sample_00_0001","ZBTB38",2
"Sample_00_0001","BHLHE40-AS1",2
"Sample_00_0001","BHLHE40",2
